NOME,VALOR[R$],TIPO,AREA[M2],QUARTOS,BANHEIROS,VAGAS GARAGEM,CONDOMINIO[R$],IPTU[R$],LOGRADOURO,MUNICIPIO,BAIRRO,CEP,IMAGENS,CODIGO,DATA_ANUNCIO,LINK,GASTOS_ANO[R$],Academia,Ar condicionado,Armários na cozinha,Armários no quarto,Churrasqueira,Condomínio fechado,Elevador,Mobiliado,Permitido animais,Piscina,Portaria,Porteiro 24h,Portão eletrônico,Quarto de serviço,Salão de festas,Segurança 24h,Varanda,Área de serviço,Área murada,LATITUDE,LONGITUDE
Apartamento - Palhoça SC,170000,Apartamento padrão,60,2,1,1,0,0,Rua das Margaridas (Loteamento Vila Nova),Palhoça,Barra do Aririú,88134117,,986271460,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-palhoca-sc-986271460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6842805,-48.6591626
Florianópolis - Casa Padrão - Praia Brava,8900000,Casa em rua pública,900,5 ou mais,5 ou mais,4,0,0,Rua Léa Castro Ramos,Florianópolis,Praia Brava,88056850,,1120672596,27/03 às 12:29,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-praia-brava-1120672596,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-27.4023514,-48.4140393
Florianópolis - Casa Padrão - Daniela,1990000,Casa em rua pública,180,3,3,3,0,0,Rua das Papoulas,Florianópolis,Daniela,88053150,,1089675033,27/03 às 12:29,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-daniela-1089675033,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-27.4457667,-48.5247505
Apartamento 3 quartos 1 suite Semimobiliado,450000,Apartamento padrão,90,3,2,1,0,0,Rua Duarte da Costa - até 634/635,Criciúma,Michel,88803150,,1033725753,27/03 às 12:29,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-3-quartos-1-suite-semimobiliado-1033725753,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,,
Apartamento à venda com 3 quartos no bairro Capoeiras em São José,750000,Apartamento padrão,88,3,3,2,0,0,Rua Professor Clementino de Brito,Florianópolis,Capoeiras,88070150,,1119346111,27/03 às 12:29,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-com-3-quartos-no-bairro-capoeiras-em-sao-jose-1119346111,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,-27.5972317,-48.5806653
Cobertura com jacuzzi à venda no bairro Abraão.,900000,Apartamento cobertura,142,2,2,1,0,0,Avenida Patrício Caldeira de Andrada - até 1000 - lado par,Florianópolis,Abraão,88085174,,1164468831,27/03 às 12:30,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-com-jacuzzi-a-venda-no-bairro-abraao-1164468831,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,
OPORTUNIDADE ALTO PADRAO PRONTO !,745000,Apartamento padrão,65,2,2,1,600,1200,Rua Professor Manoel Feijó,Florianópolis,Canasvieiras,88054280,,1032925208,27/03 às 12:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/oportunidade-alto-padrao-pronto-1032925208,8400,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-27.4326685,-48.4631351
O seu momento é Agora!,1347000,Apartamento padrão,138,3,4,2,0,0,Avenida Cruz e Souza,São José,Campinas,88101040,,995519194,27/03 às 12:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/o-seu-momento-e-agora-995519194,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,-27.5984612,-48.611111
"Cobertura com 2 dormitórios à venda, 97 m² por R$ 532.000,00 - Barreiros - São José/SC",532000,Apartamento cobertura,97,2,2,2,650,600,Rua José Victor da Rosa,São José,Barreiros,88117405,,987828716,27/03 às 12:34,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-com-2-dormitorios-a-venda-97-m-por-r-532-000-00-barreiros-sao-jose-sc-987828716,8400,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-27.5715248,-48.6058165
"Casa com 5 dormitórios à venda, 220 m² por R$ 1.490.000,00 - Centro - Palhoça/SC",1490000,Casa em rua pública,220,5 ou mais,3,2,0,0,Rua Prefeito Otávio Zacchi,Palhoça,Centro,88131500,,1073544418,27/03 às 12:34,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-5-dormitorios-a-venda-220-m-por-r-1-490-000-00-centro-palhoca-sc-1073544418,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-27.6598412,-48.672207
Apartamento à venda no bairro Campinas - São José/SC,701647,Apartamento padrão,84,2,2,1,1,1,Avenida Brigadeiro da Silva Paes,São José,Campinas,88101250,,1020292276,27/03 às 12:34,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-no-bairro-campinas-sao-jose-sc-1020292276,13,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,,
FLORIANÓPOLIS - Apartamento Padrão - AGRONÔMICA,1590000,Apartamento padrão,142,2,3,2,860,0,Rua Delminda Silveira,Florianópolis,Agronômica,88025500,,929895417,27/03 às 12:35,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-agronomica-929895417,10320,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,-27.5770545,-48.5287469
apartamento - Cacupé - Florianópolis,1875017,Apartamento padrão,128,3,4,2,0,0,Estrada Haroldo Soares Glavan,Florianópolis,Cacupé,88050005,,1063338151,27/03 às 12:35,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-cacupe-florianopolis-1063338151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5356851,-48.5266881
Casa à venda com 3 dormitórios no Abraão em Florianópolis,850000,Casa em rua pública,168,3,3,2,0,133,Rua José Joaquim de Santana,Florianópolis,Abraão,88085115,,1077763487,27/03 às 12:35,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-a-venda-com-3-dormitorios-no-abraao-em-florianopolis-1077763487,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Apartamento ,235000,Apartamento padrão,60,2,1,1,400,200,Rua José Clemente de Macedo,Palhoça,Bela Vista,88132740,,1164470379,27/03 às 12:35,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-1164470379,5000,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,-27.6612827,-48.6891109
Apartamento à venda tem 75 metros quadrados com 2 quartos em Estreito - Florianópolis - SC,630000,Apartamento padrão,75,2,2,1,500,1300,Rua Libia Cruz,Florianópolis,Estreito,88070280,,1123980050,27/03 às 12:35,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-tem-75-metros-quadrados-com-2-quartos-em-estreito-florianopolis-sc-1123980050,7300,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,-27.5938556,-48.5817731
"Casa à venda, 383 m² por R$ 4.500.000,00 - Jurerê Internacional - Florianópolis/SC",4500000,Casa em rua pública,383,5 ou mais,5 ou mais,4,0,0,Rua dos Bijupirás,Florianópolis,Jurerê Internacional,88053414,,991645419,27/03 às 12:35,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-a-venda-383-m-por-r-4-500-000-00-jurere-internacional-florianopolis-sc-991645419,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-27.4436156,-48.4991281
